seq_name	lmbda	rate_bpp	n_pixels	psnr_db	dec_time_arm_sec	dec_time_ups_sec	dec_time_syn_sec	dec_time_warp_sec	dec_time_bpred_sec	dec_time_all_sec
D-RaceHorses_416x240_30p_yuv420_8b	0.02	0.11698717948717949	99840	27.34416602505241	0.00213685	0.00199563	0.00565364	0.0	0.0	0.0129847
E-FourPeople_1280x720_60p_yuv420_8b	0.0001	0.4730989583333333	921600	44.284466142890786	0.120528	0.00933503	0.0389129	0.0	0.0	0.177487
E-FourPeople_1280x720_60p_yuv420_8b	0.0004	0.2723263888888889	921600	41.53249480401203	0.0921518	0.00897642	0.0386234	0.0	0.0	0.147063
E-FourPeople_1280x720_60p_yuv420_8b	0.001	0.1893402777777778	921600	39.31995022738383	0.0801804	0.0150233	0.0529801	0.0	0.0	0.160545
E-FourPeople_1280x720_60p_yuv420_8b	0.004	0.09903645833333333	921600	35.694101444629744	0.0279539	0.0121954	0.0489009	0.0	0.0	0.0988879
E-FourPeople_1280x720_60p_yuv420_8b	0.02	0.040616319444444444	921600	30.816234229093908	0.0179253	0.00539337	0.0298059	0.0	0.0	0.062594
E-Johnny_1280x720_60p_yuv420_8b	0.0001	0.32354166666666667	921600	44.517006987799505	0.0827054	0.00443857	0.0264519	0.0	0.0	0.118783
E-Johnny_1280x720_60p_yuv420_8b	0.0004	0.17230034722222223	921600	42.2024549168931	0.0728486	0.00906689	0.0386952	0.0	0.0	0.127954
E-Johnny_1280x720_60p_yuv420_8b	0.001	0.10546006944444444	921600	40.21653198750148	0.0564055	0.0149755	0.0529791	0.0	0.0	0.137098
E-Johnny_1280x720_60p_yuv420_8b	0.004	0.0528125	921600	37.07262236231598	0.0202706	0.0110582	0.0517788	0.0	0.0	0.0959273
E-Johnny_1280x720_60p_yuv420_8b	0.02	0.023654513888888888	921600	33.72647172802679	0.00450068	0.0074495	0.0310829	0.0	0.0	0.0496032
E-KristenAndSara_1280x720_60p_yuv420_8b	0.0001	0.3631510416666667	921600	44.91078040174321	0.0700216	0.004555	0.0268407	0.0	0.0	0.107101
E-KristenAndSara_1280x720_60p_yuv420_8b	0.0004	0.20171006944444445	921600	42.29127520212356	0.0521597	0.00429893	0.0267049	0.0	0.0	0.0876231
E-KristenAndSara_1280x720_60p_yuv420_8b	0.001	0.13572048611111112	921600	40.34390085143993	0.0315671	0.00535731	0.0269231	0.0	0.0	0.0691825
